Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,0.716684,0.706999,0.706999,0.049644,77440
1962-01-03,0.000000,0.716684,0.710227,0.716684,0.050324,85184
1962-01-04,0.000000,0.718298,0.703771,0.703771,0.049417,100672
1962-01-05,0.000000,0.703771,0.677944,0.684401,0.048057,147136
1962-01-08,0.000000,0.703771,0.694086,0.697314,0.048964,92928
1962-01-09,0.000000,0.706999,0.694086,0.698928,0.049077,85184
1962-01-10,0.000000,0.703771,0.697314,0.697314,0.048964,30976
1962-01-11,0.000000,0.703771,0.694086,0.703771,0.049417,54208
1962-01-12,0.000000,0.706999,0.698928,0.706999,0.049644,77440
1962-01-15,0.000000,0.703771,0.700542,0.702157,0.049304,54208
1962-01-16,0.000000,0.708613,0.700542,0.708613,0.049757,61952
1962-01-17,0.000000,0.706999,0.700542,0.703771,0.049417,54208
1962-01-18,0.000000,0.706999,0.698928,0.698928,0.049077,69696
1962-01-19,0.000000,0.708613,0.703771,0.708613,0.049757,77440
1962-01-22,0.000000,0.708613,0.700542,0.702157,0.049304,116160
1962-01-23,0.000000,0.705385,0.702157,0.705385,0.049530,85184
1962-01-24,0.000000,0.706999,0.700542,0.703771,0.049417,139392
1962-01-25,0.000000,0.706999,0.703771,0.703771,0.049417,61952
1962-01-26,0.000000,0.723140,0.706999,0.719912,0.050550,108416
1962-01-29,0.000000,0.723140,0.716684,0.716684,0.050324,69696
1962-01-30,0.000000,0.723140,0.716684,0.723140,0.050777,209088
1962-01-31,0.000000,0.729597,0.713456,0.719912,0.050550,100672
1962-02-01,0.000000,0.721526,0.716684,0.721526,0.050664,77440
1962-02-02,0.000000,0.755424,0.736054,0.755424,0.053044,379456
1962-02-05,0.000000,0.761880,0.752195,0.761880,0.053497,216832
1962-02-06,0.000000,0.761880,0.755424,0.761880,0.053497,201344
1962-02-07,0.000000,0.761880,0.757038,0.761880,0.053497,139392
1962-02-08,0.000000,0.771565,0.760266,0.761880,0.053497,240064
1962-02-09,0.000000,0.771565,0.765108,0.771565,0.054177,116160
1962-02-12,0.000000,0.771565,0.765108,0.769951,0.054064,61952
1962-02-13,0.000000,0.765108,0.758652,0.761880,0.054064,61952
1962-02-14,0.000000,0.761880,0.757038,0.757038,0.053720,38720
1962-02-15,0.000000,0.758652,0.755424,0.755424,0.053606,38720
1962-02-16,0.000000,0.758652,0.742510,0.742510,0.052690,162624
1962-02-19,0.000000,0.755424,0.748967,0.748967,0.053148,30976
1962-02-20,0.000000,0.750581,0.750581,0.750581,0.053262,23232
1962-02-21,0.000000,0.760266,0.755424,0.757038,0.053720,61952
1962-02-23,0.000000,0.758652,0.752195,0.752195,0.053377,77440
1962-02-26,0.000000,0.758652,0.750581,0.750581,0.053262,92928
1962-02-27,0.000000,0.753809,0.753809,0.753809,0.053491,7744
1962-02-28,0.000000,0.757038,0.750581,0.753809,0.053491,77440
1962-03-01,0.000000,0.755424,0.752195,0.755424,0.053606,85184
1962-03-02,0.000000,0.757038,0.750581,0.750581,0.053262,54208
1962-03-05,0.000000,0.758652,0.748967,0.758652,0.053835,108416
1962-03-06,0.000000,0.761880,0.755424,0.761880,0.054064,54208
1962-03-07,0.000000,0.755424,0.748967,0.748967,0.053148,123904
1962-03-08,0.000000,0.753809,0.750581,0.750581,0.053262,23232
1962-03-09,0.000000,0.760266,0.755424,0.755424,0.053606,131648
1962-03-12,0.000000,0.755424,0.752195,0.752195,0.053377,38720
1962-03-13,0.000000,0.758652,0.753809,0.758652,0.053835,46464
1962-03-14,0.000000,0.761880,0.758652,0.760266,0.053950,30976
1962-03-15,0.000000,0.761880,0.757038,0.758652,0.053835,85184
1962-03-16,0.000000,0.758652,0.750581,0.750581,0.053262,131648
1962-03-19,0.000000,0.755424,0.752195,0.752195,0.053377,46464
1962-03-20,0.000000,0.757038,0.752195,0.757038,0.053720,69696
1962-03-21,0.000000,0.758652,0.753809,0.753809,0.053491,77440
1962-03-22,0.000000,0.750581,0.748967,0.750581,0.053262,147136
1962-03-23,0.000000,0.761880,0.744124,0.747353,0.053033,332992
1962-03-26,0.000000,0.745739,0.739282,0.740896,0.052575,147136
1962-03-27,0.000000,0.748967,0.744124,0.748967,0.053148,147136
1962-03-28,0.000000,0.748967,0.739282,0.742510,0.052690,255552
1962-03-29,0.000000,0.742510,0.739282,0.739282,0.052461,15488
1962-03-30,0.000000,0.739282,0.734440,0.734440,0.052117,69696
1962-04-02,0.000000,0.732825,0.724755,0.724755,0.051430,85184
1962-04-03,0.000000,0.726369,0.723140,0.723140,0.051315,92928
1962-04-04,0.000000,0.732825,0.719912,0.726369,0.051544,100672
1962-04-05,0.000000,0.729597,0.726369,0.729597,0.051773,92928
1962-04-06,0.000000,0.731211,0.723140,0.723140,0.051315,30976
1962-04-09,0.000000,0.721526,0.716684,0.721526,0.051201,61952
1962-04-10,0.000000,0.723140,0.719912,0.723140,0.051315,131648
1962-04-11,0.000000,0.736054,0.719912,0.719912,0.051086,232320
1962-04-12,0.000000,0.719912,0.711841,0.711841,0.050513,193600
1962-04-13,0.000000,0.716684,0.711841,0.716684,0.050857,116160
1962-04-16,0.000000,0.716684,0.711841,0.711841,0.050513,139392
1962-04-17,0.000000,0.716684,0.711841,0.716684,0.050857,54208
1962-04-18,0.000000,0.718298,0.711841,0.713456,0.050628,61952
1962-04-19,0.000000,0.723140,0.718298,0.723140,0.051315,54208
1962-04-23,0.000000,0.726369,0.719912,0.723140,0.051315,92928
1962-04-24,0.000000,0.727983,0.719912,0.723140,0.051315,38720
1962-04-25,0.000000,0.719912,0.718298,0.718298,0.050971,23232
1962-04-26,0.000000,0.716684,0.716684,0.716684,0.050857,69696
1962-04-27,0.000000,0.716684,0.700542,0.700542,0.049711,139392
1962-04-30,0.000000,0.703771,0.671488,0.676330,0.047993,216832
1962-05-01,0.000000,0.687629,0.671488,0.687629,0.048795,123904
1962-05-02,0.000000,0.689243,0.681173,0.681173,0.048337,61952
1962-05-03,0.000000,0.684401,0.677944,0.677944,0.048108,340736
1962-05-04,0.000000,0.684401,0.674716,0.674716,0.047879,54208
1962-05-07,0.000000,0.681173,0.674716,0.681173,0.048337,77440
1962-05-08,0.000000,0.687629,0.684401,0.687629,0.048795,38720
1962-05-09,0.000000,0.681173,0.666645,0.668259,0.047421,154880
1962-05-10,0.000000,0.668259,0.660189,0.666645,0.047306,108416
1962-05-11,0.000000,0.676330,0.665031,0.676330,0.047993,92928
1962-05-14,0.000000,0.671488,0.648889,0.665031,0.047192,116160
1962-05-15,0.000000,0.677944,0.661803,0.671488,0.048235,108416
1962-05-16,0.000000,0.681173,0.674716,0.674716,0.048467,92928
1962-05-17,0.000000,0.684401,0.674716,0.684401,0.049163,61952
1962-05-18,0.000000,0.682787,0.674716,0.682787,0.049047,108416
1962-05-21,0.000000,0.694086,0.684401,0.687629,0.049395,92928
1962-05-22,0.000000,0.687629,0.676330,0.681173,0.048931,69696
1962-05-23,0.000000,0.687629,0.676330,0.676330,0.048583,61952
1962-05-24,0.000000,0.676330,0.671488,0.673102,0.048351,116160
1962-05-25,0.000000,0.671488,0.661803,0.661803,0.047539,170368
1962-05-28,0.000000,0.665031,0.645661,0.645661,0.046380,193600
1962-05-29,0.000000,0.642433,0.619835,0.637590,0.045800,503360
1962-05-31,0.000000,0.666645,0.642433,0.658574,0.047307,363968
1962-06-01,0.000000,0.658574,0.648889,0.653732,0.046960,116160
1962-06-04,0.000000,0.671488,0.653732,0.658574,0.047307,162624
1962-06-05,0.000000,0.668259,0.653732,0.668259,0.048003,185856
1962-06-06,0.000000,0.674716,0.666645,0.671488,0.048235,77440
1962-06-07,0.000000,0.671488,0.665031,0.665031,0.047771,54208
1962-06-08,0.000000,0.661803,0.658574,0.660189,0.047424,54208
1962-06-11,0.000000,0.668259,0.658574,0.658574,0.047307,54208
1962-06-12,0.000000,0.661803,0.658574,0.658574,0.047307,46464
1962-06-13,0.000000,0.655346,0.650504,0.652118,0.046844,147136
1962-06-14,0.000000,0.652118,0.647275,0.647275,0.046496,108416
1962-06-15,0.000000,0.648889,0.642433,0.645661,0.046380,271040
1962-06-18,0.000000,0.655346,0.645661,0.650504,0.046728,100672
1962-06-19,0.000000,0.661803,0.645661,0.652118,0.046844,69696
1962-06-20,0.000000,0.655346,0.650504,0.650504,0.046728,54208
1962-06-21,0.000000,0.647275,0.640819,0.640819,0.046032,123904
1962-06-22,0.000000,0.645661,0.635976,0.635976,0.045684,116160
1962-06-25,0.000000,0.632748,0.621449,0.623063,0.044757,178112
1962-06-26,0.000000,0.632748,0.621449,0.621449,0.044641,69696
1962-06-27,0.000000,0.632748,0.623063,0.623063,0.044757,30976
1962-06-28,0.000000,0.648889,0.632748,0.648889,0.046612,77440
1962-06-29,0.000000,0.655346,0.642433,0.647275,0.046496,100672
1962-07-02,0.000000,0.661803,0.647275,0.658574,0.047307,92928
1962-07-03,0.000000,0.665031,0.658574,0.665031,0.047771,23232
1962-07-05,0.000000,0.660189,0.655346,0.655346,0.047076,30976
1962-07-06,0.000000,0.663417,0.656960,0.656960,0.047192,69696
1962-07-09,0.000000,0.656960,0.650504,0.655346,0.047076,46464
1962-07-10,0.000000,0.674716,0.660189,0.660189,0.047424,108416
1962-07-11,0.000000,0.668259,0.661803,0.661803,0.047539,77440
1962-07-12,0.000000,0.669873,0.665031,0.668259,0.048003,30976
1962-07-13,0.000000,0.668259,0.666645,0.668259,0.048003,23232
1962-07-16,0.000000,0.666645,0.661803,0.661803,0.047539,38720
1962-07-17,0.000000,0.669873,0.665031,0.665031,0.047771,54208
1962-07-18,0.000000,0.665031,0.658574,0.658574,0.047307,85184
1962-07-19,0.000000,0.665031,0.660189,0.660189,0.047424,15488
